CustomerKey,Occupation,Name,BirthDate,MaritalStatus,Gender,YearlyIncome,NumberChildren,Region
11024,Skilled Manual,Russell Xie,1998년 9월 17일 목요일,M,M,60000,0,Southwest
11043,Skilled Manual,Nathan Simmons,1996년 2월 24일 토요일,M,M,60000,0,Southwest
11536,Skilled Manual,Logan Chow,1978년 4월 17일 월요일,M,M,60000,0,Southwest
11537,Skilled Manual,Dakota Ross,1978년 3월 24일 금요일,M,M,60000,0,Southwest
11539,Skilled Manual,Justin Washington,1979년 8월 22일 수요일,M,M,60000,0,Southwest
11627,Skilled Manual,Dalton Gray,1993년 2월 27일 토요일,M,M,60000,0,Southwest
11635,Skilled Manual,Darrell Chande,1992년 8월 14일 금요일,M,M,60000,0,Southwest
11734,Skilled Manual,Omar Chen,1979년 8월 25일 토요일,M,M,60000,0,Southwest
11736,Skilled Manual,Sebastian Sanchez,1979년 9월 25일 화요일,M,M,60000,0,Southwest
11787,Skilled Manual,Jerry Nath,1992년 9월 5일 토요일,M,M,60000,0,Southwest
11866,Skilled Manual,Lucas Scott,1981년 7월 2일 목요일,M,M,60000,0,Southwest
11938,Skilled Manual,Seth Alexander,1997년 9월 21일 일요일,M,M,60000,0,Southwest
11954,Skilled Manual,Joseph Garcia,1995년 8월 17일 목요일,M,M,60000,0,Southwest
12450,Skilled Manual,Cody Cook,1978년 9월 23일 토요일,M,M,60000,0,Southwest
12455,Skilled Manual,Benjamin Lewis,1979년 4월 10일 화요일,M,M,60000,0,Southwest
12527,Skilled Manual,José Rodriguez,1979년 11월 24일 토요일,M,M,60000,0,Southwest
12529,Skilled Manual,Isaiah Allen,1979년 10월 11일 목요일,M,M,60000,0,Southwest
12793,Skilled Manual,Jessie Guo,1978년 4월 17일 월요일,M,M,60000,0,Southwest
12876,Skilled Manual,Blake Robinson,1979년 7월 22일 일요일,M,M,60000,0,Southwest
12885,Skilled Manual,Jonathan Anderson,1991년 8월 15일 목요일,M,M,60000,0,Southwest
13475,Skilled Manual,Charles Allen,1974년 5월 5일 일요일,M,M,60000,0,Southwest
13476,Skilled Manual,Timothy Hall,1974년 8월 21일 수요일,M,M,60000,0,Southwest
13759,Skilled Manual,Jackson Scott,1979년 7월 17일 화요일,M,M,60000,0,Southwest
13862,Skilled Manual,Andrew Walker,1992년 12월 4일 금요일,M,M,60000,0,Southwest
13863,Skilled Manual,Kevin Long,1992년 1월 19일 일요일,M,M,60000,0,Southwest
13942,Skilled Manual,Seth Long,1980년 4월 8일 화요일,M,M,60000,0,Southwest
13993,Skilled Manual,Zachary Patterson,1998년 8월 24일 월요일,M,M,60000,0,Southwest
14373,Skilled Manual,Ricardo Jai,1992년 6월 14일 일요일,M,M,60000,0,Southwest
14487,Skilled Manual,Seth Hall,1974년 10월 6일 일요일,M,M,60000,0,Southwest
14627,Skilled Manual,Isaiah Hill,1981년 11월 16일 월요일,M,M,60000,0,Southwest
14630,Skilled Manual,Isaiah James,1981년 8월 7일 금요일,M,M,60000,0,Southwest
14639,Skilled Manual,Jeremiah Howard,1980년 8월 24일 일요일,M,M,60000,0,Southwest
14652,Skilled Manual,Russell Luo,1980년 12월 2일 화요일,M,M,60000,0,Southwest
14653,Skilled Manual,Troy Fernandez,1979년 1월 7일 일요일,M,M,60000,0,Southwest
14920,Skilled Manual,Jason Hill,1979년 5월 24일 목요일,M,M,60000,0,Southwest
15400,Skilled Manual,Samuel Roberts,1974년 9월 19일 목요일,M,M,60000,0,Southwest
15403,Skilled Manual,Jeremiah Ross,1974년 9월 6일 금요일,M,M,60000,0,Southwest
15428,Skilled Manual,Richard Howard,1999년 5월 1일 토요일,M,M,60000,0,Southwest
15557,Skilled Manual,Nathaniel Murphy,1980년 8월 14일 목요일,M,M,60000,0,Southwest
15858,Skilled Manual,Jonathan Parker,1979년 6월 15일 금요일,M,M,60000,0,Southwest
16017,Skilled Manual,Jeremy Ramirez,1999년 5월 12일 수요일,M,M,60000,0,Southwest
16249,Skilled Manual,Jesse Rivera,1979년 12월 5일 수요일,M,M,60000,0,Southwest
16336,Skilled Manual,Jonathan Wright,1997년 6월 8일 일요일,M,M,60000,0,Southwest
16337,Skilled Manual,Jose White,1997년 7월 6일 일요일,M,M,60000,0,Southwest
16385,Skilled Manual,James Perez,1979년 12월 17일 월요일,M,M,60000,0,Southwest
16503,Skilled Manual,Christian Anderson,1995년 3월 2일 목요일,M,M,60000,0,Southwest
16769,Skilled Manual,Tyler Walker,1991년 10월 24일 목요일,M,M,60000,0,Southwest
16887,Skilled Manual,Cody Rivera,1974년 8월 11일 일요일,M,M,60000,0,Southwest
16920,Skilled Manual,Eduardo Stewart,1999년 1월 17일 일요일,M,M,60000,0,Southwest
17660,Skilled Manual,Seth Young,1986년 8월 4일 월요일,M,M,60000,0,Southwest
17698,Skilled Manual,Xavier Butler,1991년 11월 20일 수요일,M,M,60000,0,Southwest
17859,Skilled Manual,Wyatt Gonzalez,1981년 9월 22일 화요일,M,M,60000,0,Southwest
17860,Skilled Manual,Noah Diaz,1981년 5월 9일 토요일,M,M,60000,0,Southwest
17866,Skilled Manual,Jack Baker,1980년 9월 20일 토요일,M,M,60000,0,Southwest
18228,Skilled Manual,Adam Parker,1980년 4월 27일 일요일,M,M,60000,0,Southwest
18360,Skilled Manual,Eric Li,1999년 9월 13일 월요일,M,M,60000,0,Southwest
18455,Skilled Manual,Alejandro Wu,1997년 9월 25일 목요일,M,M,60000,0,Southwest
18473,Skilled Manual,Nathaniel Rogers,1995년 5월 27일 토요일,M,M,60000,0,Southwest
18474,Skilled Manual,James Smith,1995년 7월 11일 화요일,M,M,60000,0,Southwest
18646,Skilled Manual,Blake Adams,1986년 3월 12일 수요일,M,M,60000,0,Southwest
18799,Skilled Manual,Jacob Lewis,1991년 10월 24일 목요일,M,M,60000,0,Southwest
18856,Skilled Manual,Thomas Green,1974년 3월 15일 금요일,M,M,60000,0,Southwest
19233,Skilled Manual,Omar Andersen,1979년 5월 6일 일요일,M,M,60000,0,Southwest
19245,Skilled Manual,Isaiah King,1991년 2월 27일 수요일,M,M,60000,0,Southwest
19671,Skilled Manual,Michael Davis,1998년 7월 2일 목요일,M,M,60000,0,Southwest
19777,Skilled Manual,Jonathan Thomas,1995년 5월 19일 금요일,M,M,60000,0,Southwest
20126,Skilled Manual,Seth Carter,1991년 10월 17일 목요일,M,M,60000,0,Southwest
20187,Skilled Manual,Robert King,1981년 9월 8일 화요일,M,M,60000,0,Southwest
20194,Skilled Manual,Connor Campbell,1980년 11월 8일 토요일,M,M,60000,0,Southwest
20311,Skilled Manual,Cole Bell,1999년 2월 11일 목요일,M,M,60000,0,Southwest
20374,Skilled Manual,Fernando Adams,1974년 6월 15일 토요일,M,M,60000,0,Southwest
20411,Skilled Manual,Cole James,1997년 6월 5일 목요일,M,M,60000,0,Southwest
20784,Skilled Manual,Eduardo Walker,1979년 2월 21일 수요일,M,M,60000,0,Southwest
21155,Skilled Manual,Jeremiah Flores,1980년 3월 4일 화요일,M,M,60000,0,Southwest
21329,Skilled Manual,Wyatt Brown,1974년 1월 2일 수요일,M,M,60000,0,Southwest
21368,Skilled Manual,Mason Collins,1997년 9월 26일 금요일,M,M,60000,0,Southwest
21398,Skilled Manual,Ethan Diaz,1995년 3월 25일 토요일,M,M,60000,0,Southwest
21399,Skilled Manual,Ian Hughes,1995년 11월 25일 토요일,M,M,60000,0,Southwest
21588,Skilled Manual,Theodore Martin,1992년 2월 3일 월요일,M,M,60000,0,Southwest
21695,Skilled Manual,Ethan Rodriguez,1986년 10월 6일 월요일,M,M,60000,0,Southwest
21722,Skilled Manual,Spencer Wood,1979년 5월 5일 토요일,M,M,60000,0,Southwest
21931,Skilled Manual,Marcus Wood,1980년 9월 20일 토요일,M,M,60000,0,Southwest
21932,Skilled Manual,Leonard Kumar,1979년 12월 14일 금요일,M,M,60000,0,Southwest
22152,Skilled Manual,Marcus King,1998년 2월 18일 수요일,M,M,60000,0,Southwest
22162,Skilled Manual,Brad Yuan,1997년 4월 11일 금요일,M,M,60000,0,Southwest
22165,Skilled Manual,Aaron Perez,1996년 11월 1일 금요일,M,M,60000,0,Southwest
22184,Skilled Manual,Jeremy Carter,1995년 7월 27일 목요일,M,M,60000,0,Southwest
22185,Skilled Manual,Connor Henderson,1995년 6월 2일 금요일,M,M,60000,0,Southwest
22336,Skilled Manual,Frank Moreno,1986년 11월 4일 화요일,M,M,60000,0,Southwest
22369,Skilled Manual,Louis Deng,1979년 5월 5일 토요일,M,M,60000,0,Southwest
22887,Skilled Manual,Mason Richardson,1980년 3월 4일 화요일,M,M,60000,0,Southwest
23337,Skilled Manual,Isaiah Green,1995년 11월 7일 화요일,M,M,60000,0,Southwest
23338,Skilled Manual,Lucas Jenkins,1993년 12월 13일 월요일,M,M,60000,0,Southwest
23382,Skilled Manual,Xavier Barnes,1981년 8월 8일 토요일,M,M,60000,0,Southwest
23383,Skilled Manual,Caleb Allen,1981년 6월 17일 수요일,M,M,60000,0,Southwest
23398,Skilled Manual,Karl Chander,1980년 3월 3일 월요일,M,M,60000,0,Southwest
23399,Skilled Manual,Keith Pal,1980년 5월 26일 월요일,M,M,60000,0,Southwest
24238,Skilled Manual,Sean Richardson,1998년 9월 7일 월요일,M,M,60000,0,Southwest
24239,Skilled Manual,Miguel Hernandez,1998년 11월 27일 금요일,M,M,60000,0,Southwest
24262,Skilled Manual,Daniel Thomas,1997년 3월 16일 일요일,M,M,60000,0,Southwest
24341,Skilled Manual,Wyatt Jones,1981년 12월 10일 목요일,M,M,60000,0,Southwest
24351,Skilled Manual,Brandon Yang,1980년 2월 5일 화요일,M,M,60000,0,Southwest
24432,Skilled Manual,Dalton Reed,1974년 6월 13일 목요일,M,M,60000,0,Southwest
24520,Skilled Manual,Joseph Wilson,1993년 2월 22일 월요일,M,M,60000,0,Southwest
24770,Skilled Manual,Isaac Wright,1993년 11월 13일 토요일,M,M,60000,0,Southwest
24783,Skilled Manual,Barry Raman,1992년 8월 4일 화요일,M,M,60000,0,Southwest
25085,Skilled Manual,Lucas Rogers,1981년 8월 25일 화요일,M,M,60000,0,Southwest
25909,Skilled Manual,Chase James,1999년 6월 5일 토요일,M,M,60000,0,Southwest
25917,Skilled Manual,Kyle Long,1998년 3월 25일 수요일,M,M,60000,0,Southwest
25954,Skilled Manual,Noah Carter,1995년 8월 10일 목요일,M,M,60000,0,Southwest
26546,Skilled Manual,Miguel Bennett,1998년 6월 26일 금요일,M,M,60000,0,Southwest
26617,Skilled Manual,Isaiah Peterson,1980년 10월 11일 토요일,M,M,60000,0,Southwest
26631,Skilled Manual,Isaiah Stewart,1980년 3월 1일 토요일,M,M,60000,0,Southwest
26634,Skilled Manual,Devin Walker,1980년 5월 12일 월요일,M,M,60000,0,Southwest
26801,Skilled Manual,Wyatt Washington,1996년 7월 19일 금요일,M,M,60000,0,Southwest
27076,Skilled Manual,Dakota Russell,1991년 9월 22일 일요일,M,M,60000,0,Southwest
27467,Skilled Manual,Jackson Coleman,1998년 3월 16일 월요일,M,M,60000,0,Southwest
27468,Skilled Manual,Robert Powell,1998년 10월 12일 월요일,M,M,60000,0,Southwest
28125,Skilled Manual,Dalton Jackson,1995년 9월 22일 금요일,M,M,60000,0,Southwest
28127,Skilled Manual,Fernando Price,1995년 6월 18일 일요일,M,M,60000,0,Southwest
28162,Skilled Manual,Bruce Ward,1982년 6월 11일 금요일,M,M,60000,0,Southwest
28172,Skilled Manual,Charles Moore,1981년 11월 27일 금요일,M,M,60000,0,Southwest
28182,Skilled Manual,Fernando Turner,1980년 9월 5일 금요일,M,M,60000,0,Southwest
28185,Skilled Manual,Eric Alexander,1980년 4월 19일 토요일,M,M,60000,0,Southwest
29079,Skilled Manual,Brian Rogers,1996년 6월 7일 금요일,M,M,60000,0,Southwest
11036,Skilled Manual,Jennifer Russell,1998년 12월 18일 금요일,M,F,60000,0,Southwest
11041,Skilled Manual,Amanda Carter,1997년 10월 16일 목요일,M,F,60000,0,Southwest
11053,Skilled Manual,Ana Price,2000년 8월 20일 일요일,M,F,60000,0,Southwest
11065,Skilled Manual,Jessica Henderson,1993년 10월 9일 토요일,M,F,60000,0,Southwest
11165,Skilled Manual,Jocelyn Alexander,1993년 7월 18일 일요일,M,F,60000,0,Southwest
